Category,Longitude,Latitude,Serial_Num,Season,Name,ISO_time,Nature,wmo_wind,wmo_pres,year,month,day,hour,min
1,54.29999924,-21.79999924,2012362S08071,2013,DUMILE,1/3/2013 12:00, TS,68,972,2013,1,3,12,0
1,54.09999847,-23.10000038,2012362S08071,2013,DUMILE,1/3/2013 18:00, TS,70,970,2013,1,3,18,0
1,53.90000153,-24.10000038,2012362S08071,2013,DUMILE,1/4/2013 0:00, TS,70,970,2013,1,4,0,0
1,116.3499985,-12.97999954,2013005S10126,2013,NARELLE,1/9/2013 6:00, NR,65,972,2013,1,9,6,0
1,116.2099991,-13.10000038,2013005S10126,2013,NARELLE,1/9/2013 9:00, NR,65,972,2013,1,9,9,0
1,116.0699997,-13.27000046,2013005S10126,2013,NARELLE,1/9/2013 12:00, NR,65,971,2013,1,9,12,0
1,116,-13.39999962,2013005S10126,2013,NARELLE,1/9/2013 15:00, NR,65,971,2013,1,9,15,0
1,115.9499969,-13.57999992,2013005S10126,2013,NARELLE,1/9/2013 18:00, NR,65,971,2013,1,9,18,0
1,115.9100037,-13.76000023,2013005S10126,2013,NARELLE,1/9/2013 21:00, NR,75,964,2013,1,9,21,0
1,115.8000031,-14,2013005S10126,2013,NARELLE,1/10/2013 0:00, NR,75,960,2013,1,10,0,0
1,115.6999969,-14.69999981,2013005S10126,2013,NARELLE,1/10/2013 3:00, NR,75,962,2013,1,10,3,0
1,115.4000015,-15.39999962,2013005S10126,2013,NARELLE,1/10/2013 6:00, NR,75,963,2013,1,10,6,0
1,115.0999985,-15.89999962,2013005S10126,2013,NARELLE,1/10/2013 9:00, NR,80,956,2013,1,10,9,0
1,114.9000015,-16.29999924,2013005S10126,2013,NARELLE,1/10/2013 12:00, NR,80,956,2013,1,10,12,0
1,111.0999985,-20.82999992,2013005S10126,2013,NARELLE,1/12/2013 21:00, NR,80,953,2013,1,12,21,0
1,111,-21.29999924,2013005S10126,2013,NARELLE,1/13/2013 0:00, NR,75,960,2013,1,13,0,0
1,110.6999969,-21.79999924,2013005S10126,2013,NARELLE,1/13/2013 3:00, NR,70,964,2013,1,13,3,0
1,110.4000015,-22.29999924,2013005S10126,2013,NARELLE,1/13/2013 6:00, NR,65,968,2013,1,13,6,0
1,110.1999969,-22.79999924,2013005S10126,2013,NARELLE,1/13/2013 9:00, NR,65,965,2013,1,13,9,0
1,110,-23.29999924,2013005S10126,2013,NARELLE,1/13/2013 12:00, NR,65,965,2013,1,13,12,0
1,-164.8000031,-13.80000019,2013019S12174,2013,GARRY,1/24/2013 6:00, NR,65,975,2013,1,24,6,0
1,-163.8999939,-14.10000038,2013019S12174,2013,GARRY,1/24/2013 12:00, NR,65,975,2013,1,24,12,0
1,-162.6999969,-14.69999981,2013019S12174,2013,GARRY,1/24/2013 18:00, NR,80,970,2013,1,24,18,0
1,-161.8000031,-15.69999981,2013019S12174,2013,GARRY,1/25/2013 0:00, NR,80,970,2013,1,25,0,0
1,-160.8000031,-16.29999924,2013019S12174,2013,GARRY,1/25/2013 6:00, NR,80,970,2013,1,25,6,0
1,-160.6000061,-16.5,2013019S12174,2013,GARRY,1/25/2013 12:00, NR,80,970,2013,1,25,12,0
1,-160.3000031,-16.70000076,2013019S12174,2013,GARRY,1/25/2013 18:00, NR,70,975,2013,1,25,18,0
1,56.59999847,-13.5,2013026S13067,2013,FELLENG,1/29/2013 0:00, TS,65,970,2013,1,29,0,0
1,55.90000153,-13.69999981,2013026S13067,2013,FELLENG,1/29/2013 6:00, TS,75,965,2013,1,29,6,0
1,55.09999847,-14.10000038,2013026S13067,2013,FELLENG,1/29/2013 12:00, TS,80,956,2013,1,29,12,0
1,54.5,-14.30000019,2013026S13067,2013,FELLENG,1/29/2013 18:00, TS,82,953,2013,1,29,18,0
1,51.40000153,-17.70000076,2013026S13067,2013,FELLENG,1/31/2013 0:00, TS,75,950,2013,1,31,0,0
1,51,-18.29999924,2013026S13067,2013,FELLENG,1/31/2013 6:00, TS,68,962,2013,1,31,6,0
1,79.40000153,-18.29999924,2013041S10087,2013,GINO,2/13/2013 0:00, TS,65,960,2013,2,13,0,0
1,79.40000153,-19.10000038,2013041S10087,2013,GINO,2/13/2013 6:00, TS,70,957,2013,2,13,6,0
1,79.5,-20.10000038,2013041S10087,2013,GINO,2/13/2013 12:00, TS,75,953,2013,2,13,12,0
1,79.69999695,-20.79999924,2013041S10087,2013,GINO,2/13/2013 18:00, TS,75,953,2013,2,13,18,0
1,79.90000153,-21.70000076,2013041S10087,2013,GINO,2/14/2013 0:00, TS,70,960,2013,2,14,0,0
1,41,-22,2013046S20042,2013,HARUNA,2/20/2013 12:00, TS,68,970,2013,2,20,12,0
1,41.09999847,-22.29999924,2013046S20042,2013,HARUNA,2/20/2013 18:00, TS,80,965,2013,2,20,18,0
1,41.29999924,-22.29999924,2013046S20042,2013,HARUNA,2/21/2013 0:00, TS,80,965,2013,2,21,0,0
1,41.5,-22.29999924,2013046S20042,2013,HARUNA,2/21/2013 6:00, TS,80,965,2013,2,21,6,0
1,41.90000153,-22.29999924,2013046S20042,2013,HARUNA,2/21/2013 12:00, TS,80,965,2013,2,21,12,0
1,42.5,-22.10000038,2013046S20042,2013,HARUNA,2/21/2013 18:00, TS,80,965,2013,2,21,18,0
1,43,-22.10000038,2013046S20042,2013,HARUNA,2/22/2013 0:00, TS,80,960,2013,2,22,0,0
1,43.59999847,-22.5,2013046S20042,2013,HARUNA,2/22/2013 6:00, TS,70,967,2013,2,22,6,0
1,119.1999969,-18.38999939,2013052S13126,2013,RUSTY,2/25/2013 12:00, NR,65,962,2013,2,25,12,0
1,119.0999985,-18.5,2013052S13126,2013,RUSTY,2/25/2013 15:00, NR,75,957,2013,2,25,15,0
1,119.1999969,-18.70999908,2013052S13126,2013,RUSTY,2/25/2013 18:00, NR,65,960,2013,2,25,18,0
1,119.1999969,-18.89999962,2013052S13126,2013,RUSTY,2/25/2013 21:00, NR,75,957,2013,2,25,21,0
1,119.0999985,-19,2013052S13126,2013,RUSTY,2/26/2013 0:00, NR,75,957,2013,2,26,0,0
1,119.0999985,-19.20000076,2013052S13126,2013,RUSTY,2/26/2013 6:00, NR,75,955,2013,2,26,6,0
1,119.0999985,-19.20000076,2013052S13126,2013,RUSTY,2/26/2013 12:00, NR,75,950,2013,2,26,12,0
1,119.5,-19.79999924,2013052S13126,2013,RUSTY,2/27/2013 6:00, NR,75,950,2013,2,27,6,0
1,119.5999985,-20,2013052S13126,2013,RUSTY,2/27/2013 9:00, NR,75,955,2013,2,27,9,0
1,119.8000031,-20.20000076,2013052S13126,2013,RUSTY,2/27/2013 12:00, NR,65,967,2013,2,27,12,0
1,160.5,-15.89999962,2013065S18151,2013,SANDRA,3/10/2013 0:00, NR,80,960,2013,3,10,0,0
1,161.8000031,-19,2013065S18151,2013,SANDRA,3/11/2013 18:00, NR,80,955,2013,3,11,18,0
